Invoice,InvoiceDate,Quantity,Price,Customer ID,Country
489546,2009-12-01 12:30:00,6,1.65,14156,EIRE
489546,2009-12-01 12:30:00,4,4.25,14156,EIRE
489546,2009-12-01 12:30:00,12,0.85,14156,EIRE
489546,2009-12-01 12:30:00,12,1.65,14156,EIRE
489546,2009-12-01 12:30:00,12,2.1,14156,EIRE
489546,2009-12-01 12:30:00,24,0.55,14156,EIRE
489546,2009-12-01 12:30:00,3,4.25,14156,EIRE
489546,2009-12-01 12:30:00,8,1.65,14156,EIRE
489546,2009-12-01 12:30:00,8,1.95,14156,EIRE
489546,2009-12-01 12:30:00,12,0.85,14156,EIRE
489546,2009-12-01 12:30:00,6,2.55,14156,EIRE
489546,2009-12-01 12:30:00,9,4.25,14156,EIRE
489546,2009-12-01 12:30:00,3,4.95,14156,EIRE
489546,2009-12-01 12:30:00,3,4.95,14156,EIRE
489546,2009-12-01 12:30:00,1,14.95,14156,EIRE
489546,2009-12-01 12:30:00,6,3.75,14156,EIRE
489546,2009-12-01 12:30:00,4,3.45,14156,EIRE
489546,2009-12-01 12:30:00,2,6.75,14156,EIRE
489546,2009-12-01 12:30:00,6,2.1,14156,EIRE
489546,2009-12-01 12:30:00,2,12.75,14156,EIRE
489546,2009-12-01 12:30:00,2,6.75,14156,EIRE
489546,2009-12-01 12:30:00,12,1.25,14156,EIRE
489546,2009-12-01 12:30:00,12,1.25,14156,EIRE
489546,2009-12-01 12:30:00,6,2.95,14156,EIRE
489546,2009-12-01 12:30:00,4,8.5,14156,EIRE
489546,2009-12-01 12:30:00,1,12.75,14156,EIRE
489546,2009-12-01 12:30:00,6,2.1,14156,EIRE
489546,2009-12-01 12:30:00,6,2.1,14156,EIRE
489546,2009-12-01 12:30:00,4,4.25,14156,EIRE
489546,2009-12-01 12:30:00,4,10.75,14156,EIRE
489546,2009-12-01 12:30:00,4,6.75,14156,EIRE
489546,2009-12-01 12:30:00,2,6.75,14156,EIRE
489546,2009-12-01 12:30:00,6,2.95,14156,EIRE
489550,2009-12-01 12:33:00,12,1.25,14156,EIRE
489550,2009-12-01 12:33:00,12,1.25,14156,EIRE
489550,2009-12-01 12:33:00,12,1.25,14156,EIRE
489550,2009-12-01 12:33:00,6,2.1,14156,EIRE
489550,2009-12-01 12:33:00,48,0.55,14156,EIRE
489550,2009-12-01 12:33:00,2,14.95,14156,EIRE
489550,2009-12-01 12:33:00,2,9.95,14156,EIRE
489550,2009-12-01 12:33:00,18,1.25,14156,EIRE
489550,2009-12-01 12:33:00,6,2.95,14156,EIRE
489550,2009-12-01 12:33:00,2,4.95,14156,EIRE
