Invoice,InvoiceDate,StockCode,Description,Quantity,Price,Customer ID,Country
489667,2009-12-01 18:35:00,21133,PAINTED BIRD ASSORTED CHRISTMAS,12,1.69,16563,United Kingdom
489667,2009-12-01 18:35:00,84879,ASSORTED COLOUR BIRD ORNAMENT,24,1.69,16563,United Kingdom
489667,2009-12-01 18:35:00,16156S,WRAP PINK FAIRY CAKES ,25,0.42,16563,United Kingdom
489667,2009-12-01 18:35:00,20765,CHRYSANTHEMUM SKETCHBOOK ,32,2.95,16563,United Kingdom
489667,2009-12-01 18:35:00,82001S,VINYL RECORD FRAME SILVER,24,3.39,16563,United Kingdom
489667,2009-12-01 18:35:00,21137,BLACK RECORD COVER FRAME,24,3.39,16563,United Kingdom
489667,2009-12-01 18:35:00,22246,"GARLAND, MAGIC GARDEN 1.8M",12,1.95,16563,United Kingdom
489667,2009-12-01 18:35:00,22187,GREEN CHRISTMAS TREE CARD HOLDER,24,3.75,16563,United Kingdom
489667,2009-12-01 18:35:00,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2.55,16563,United Kingdom
489667,2009-12-01 18:35:00,84946,ANTIQUE SILVER TEA GLASS ETCHED,12,1.25,16563,United Kingdom
490023,2009-12-03 12:38:00,21769,VINTAGE POST OFFICE CABINET,1,79.95,16168,United Kingdom
490023,2009-12-03 12:38:00,22163,HEART STRING MEMO HOLDER HANGING,6,2.95,16168,United Kingdom
490023,2009-12-03 12:38:00,21671,RED SPOT CERAMIC DRAWER KNOB,12,1.25,16168,United Kingdom
490023,2009-12-03 12:38:00,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,30,2.55,16168,United Kingdom
490118,2009-12-03 17:46:00,20861,GOLD COSMETIC BAG PINK STAR,5,2.1,17851,United Kingdom
490118,2009-12-03 17:46:00,22125,UNION JACK HOT WATER BOTTLE ,2,5.95,17851,United Kingdom
490118,2009-12-03 17:46:00,21837,CROSS STITCH ALPHABET CUSHION COVER,4,5.95,17851,United Kingdom
490118,2009-12-03 17:46:00,46000M,POLYESTER FILLER PAD 45x45cm,4,1.55,17851,United Kingdom
490118,2009-12-03 17:46:00,22114,HOT WATER BOTTLE TEA AND SYMPATHY,2,3.95,17851,United Kingdom
490118,2009-12-03 17:46:00,22112,CHOCOLATE HOT WATER BOTTLE,3,4.95,17851,United Kingdom
490118,2009-12-03 17:46:00,21479,WHITE SKULL HOT WATER BOTTLE ,2,3.75,17851,United Kingdom
490118,2009-12-03 17:46:00,21989,PACK OF 20 SKULL PAPER NAPKINS,3,0.85,17851,United Kingdom
490118,2009-12-03 17:46:00,21080,SET/20 RED SPOTTY PAPER NAPKINS ,2,0.85,17851,United Kingdom
490118,2009-12-03 17:46:00,22122,SET OF 2 FANCY FONT TEA TOWELS,3,2.95,17851,United Kingdom
490118,2009-12-03 17:46:00,22149,FELTCRAFT 6 FLOWER FRIENDS,4,2.1,17851,United Kingdom
490118,2009-12-03 17:46:00,22296,HEART IVORY TRELLIS LARGE,3,1.65,17851,United Kingdom
490118,2009-12-03 17:46:00,22319,HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,17851,United Kingdom
490118,2009-12-03 17:46:00,22113,GREY HEART HOT WATER BOTTLE,2,3.45,17851,United Kingdom
490118,2009-12-03 17:46:00,84680,CLASSICAL ROSE URN,2,7.95,17851,United Kingdom
490118,2009-12-03 17:46:00,22142,CHRISTMAS CRAFT WHITE FAIRY ,3,1.45,17851,United Kingdom
490118,2009-12-03 17:46:00,85167A,WHITE GRAND BAROQUE PHOTO FRAME,2,4.25,17851,United Kingdom
490118,2009-12-03 17:46:00,51012L,"FEATHER DUSTER, LIGHT PINK",2,1.25,17851,United Kingdom
490118,2009-12-03 17:46:00,20783,HEART EAR MUFF HEADPHONES,3,5.49,17851,United Kingdom
490118,2009-12-03 17:46:00,84406B,CREAM CUPID HEARTS COAT HANGER,2,3.25,17851,United Kingdom
490118,2009-12-03 17:46:00,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,2,2.95,17851,United Kingdom
490118,2009-12-03 17:46:00,21656,RIDGED GLASS POSY VASE ,3,1.45,17851,United Kingdom
490118,2009-12-03 17:46:00,21491,SET OF THREE VINTAGE GIFT WRAPS,2,1.95,17851,United Kingdom
490118,2009-12-03 17:46:00,21790,VINTAGE SNAP CARDS,6,0.85,17851,United Kingdom
490118,2009-12-03 17:46:00,21791,VINTAGE HEADS AND TAILS CARD GAME ,4,1.25,17851,United Kingdom
490118,2009-12-03 17:46:00,10138,ASSORTED COLOUR JUMBO PEN,11,0.42,17851,United Kingdom
490118,2009-12-03 17:46:00,20975,12 PENCILS SMALL TUBE RED SPOTTY,3,0.65,17851,United Kingdom
